ID,school_name,borough,building_code,average_math,average_reading,average_writing,percent_tested,name_key,lat,long,overall_score,performance_level
153,Cobble Hill School of American Studies,Brooklyn,K804,416,420,402,55.3,cobble hill school of american studies,40.684524,-73.990993,413,Medium Performance
154,Urban Assembly High School of Music and Art,Brooklyn,K805,372,372,361,55.1,urban assembly high school of music and art,40.697339,-73.985016,368,Low Performance
155,Cultural Academy for the Arts and Sciences,Brooklyn,K415,382,395,384,57.3,cultural academy for the arts and sciences,40.648657,-73.922171,387,Low Performance
156,Kurt Hahn Expeditionary Learning School,Brooklyn,K415,378,394,388,72.6,kurt hahn expeditionary learning school,40.648657,-73.922171,387,Low Performance
157,It Takes a Village Academy,Brooklyn,K415,364,374,361,62.2,it takes a village academy,40.648657,-73.922171,366,Low Performance
158,Urban Assembly School for Criminal Justice,Brooklyn,K223,428,413,417,83.6,urban assembly school for criminal justice,40.634875,-73.981528,419,Medium Performance
159,Franklin Delano Roosevelt High School,Brooklyn,K505,504,411,407,54.0,franklin delano roosevelt high school,40.620446,-73.981795,441,High Performance
160,Dr. Susan S. McKinney Secondary School of the Arts,Brooklyn,K265,332,346,350,55.1,dr. susan s. mckinney secondary school of the arts,40.696324,-73.97578,343,Low Performance
161,Benjamin Banneker Academy,Brooklyn,K914,479,484,472,85.5,benjamin banneker academy,40.695332,-73.969243,478,High Performance
162,Juan Morel Campos Secondary School,Brooklyn,K071,366,356,353,56.3,juan morel campos secondary school,40.703624,-73.953146,358,Low Performance
163,Green School: An Academy for Environmental Careers,Brooklyn,K049,384,398,399,41.1,green school: an academy for environmental careers,40.709941,-73.943641,394,Medium Performance
164,Lyons Community School,Brooklyn,K049,374,376,357,56.3,lyons community school,40.709941,-73.943641,369,Low Performance
165,FDNY High School for Fire and Life Safety,Brooklyn,K435,365,369,357,47.7,fdny high school for fire and life safety,40.667456,-73.894747,364,Low Performance
166,High School for Civil Rights,Brooklyn,K435,391,373,376,26.4,high school for civil rights,40.667456,-73.894747,380,Low Performance
167,Performing Arts and Technology High School,Brooklyn,K435,375,393,394,39.8,performing arts and technology high school,40.667456,-73.894747,387,Low Performance
168,East New York Family Academy,Brooklyn,K819,464,451,421,66.7,east new york family academy,40.661072,-73.886942,445,High Performance
169,Brooklyn Lab School,Brooklyn,K420,383,376,370,46.8,brooklyn lab school,40.691146,-73.868328,376,Low Performance
170,Cypress Hills Collegiate Preparatory School,Brooklyn,K420,365,370,362,53.8,cypress hills collegiate preparatory school,40.691146,-73.868328,366,Low Performance
171,Academy for Young Writers,Brooklyn,K422,382,413,391,81.2,academy for young writers,40.657459,-73.874756,395,Medium Performance
172,Academy of Innovative Technology,Brooklyn,K420,395,376,359,57.4,academy of innovative technology,40.691146,-73.868328,377,Low Performance
173,Fort Hamilton High School,Brooklyn,K490,513,456,451,68.7,fort hamilton high school,40.627835,-74.040046,473,High Performance
174,Midwood High School,Brooklyn,K405,550,514,516,85.7,midwood high school,40.633237,-73.952929,527,High Performance
175,PROGRESS High School for Professional Careers,Brooklyn,K450,380,377,384,44.9,progress high school for professional careers,40.712184,-73.939722,380,Low Performance
176,Brooklyn Preparatory High School,Brooklyn,K650,391,406,391,74.5,brooklyn preparatory high school,40.715073,-73.954754,396,Medium Performance
177,El Puente Academy for Peace and Justice,Brooklyn,K778,344,380,379,62.5,el puente academy for peace and justice,40.705898,-73.955611,368,Low Performance
178,School for Legal Studies,Brooklyn,K450,393,390,394,34.8,school for legal studies,40.712184,-73.939722,392,Low Performance
