ID,school_name,borough,building_code,average_math,average_reading,average_writing,percent_tested,lat,long
125,International School for Liberal Arts,Bronx,X430,390,387,379,19.2,40.870293,-73.898309
126,Astor Collegiate Academy,Bronx,X415,422,417,409,57.9,40.859665,-73.861006
127,Pelham Preparatory Academy,Bronx,X415,420,433,425,77.0,40.859665,-73.861006
128,High School of Language and Innovation,Bronx,X415,356,340,320,72.7,40.859665,-73.861006
129,Collegiate Institute for Math and Science,Bronx,X415,488,461,458,79.8,40.859665,-73.861006
130,Bronxdale High School,Bronx,X415,418,432,436,72.5,40.859665,-73.861006
131,Pan American International High School at Monroe,Bronx,X420,317,315,292,65.6,40.831601,-73.878912
132,Mott Hall V,Bronx,X423,430,422,414,77.5,40.831416,-73.877785
133,High School of World Cultures,Bronx,X420,356,359,347,38.2,40.831601,-73.878912
134,Millennium Art Academy,Bronx,X450,396,413,395,39.2,40.82229,-73.856167
135,Bronx Guild,Bronx,X450,365,393,357,41.3,40.82229,-73.856167
136,Pablo Neruda Academy,Bronx,X450,394,384,383,44.2,40.82229,-73.856167
137,Women's Academy of Excellence,Bronx,X174,386,390,389,45.2,40.814833,-73.85658
138,Bronx Health Sciences High School,Bronx,X455,407,421,427,87.1,40.874091,-73.833904
139,Queens Vocational and Technical High School,Queens,Q600,467,436,432,53.4,40.742205,-73.928219
140,High School of Applied Communication,Queens,Q735,435,437,441,70.9,40.745095,-73.936635
141,Academy for Careers in Television and Film,Queens,Q404,444,458,444,95.0,40.742956,-73.959196
142,Academy of American Studies,Queens,Q451,495,482,479,84.8,40.751331,-73.937434
143,Newcomers High School,Queens,Q450,490,374,381,47.1,40.751356,-73.937445
144,Bard High School Early College Queens,Queens,Q735,631,598,610,94.1,40.745095,-73.936635
145,Information Technology High School,Queens,Q725,443,420,411,58.8,40.748701,-73.94638
146,William Cullen Bryant High School,Queens,Q445,466,424,426,56.9,40.75823,-73.910514
147,Long Island City High School,Queens,Q452,430,423,412,51.6,40.765826,-73.9328
148,Frank Sinatra School of the Arts High School,Queens,Q570,536,543,543,89.5,40.756534,-73.925121
149,Baccalaureate School for Global Education,Queens,Q798,633,620,628,98.5,40.755366,-73.927169
150,Brooklyn International High School,Brooklyn,K805,432,334,333,92.7,40.697339,-73.985016
151,School for International Studies,Brooklyn,K293,417,406,394,65.1,40.685419,-73.993351
