school,lat,long
P.S. 214,40.839565,-73.880358
250 EAST 164 STREET CONSOLIDATED LOCATION,40.828696,-73.917668
Science and Technology Academy: A Mott Hall School,40.828696,-73.917668
Grant Avenue Elementary School,40.828696,-73.917668
Bronx Early College Academy for Teaching & Learnin,40.828696,-73.917668
P.S. 163 Arthur A. Schomburg,40.851741,-73.898493
600 SAINT ANN'S AVENUE CONSOLIDATED LOCATION,40.815498,-73.91224
University Prep Charter High School,40.815498,-73.91224
Hostos-Lincoln Academy of Science,40.815498,-73.91224
J.H.S. 162 Lola Rodriguez De Tio,40.815498,-73.91224
628 TINTON AVENUE CONSOLIDATED LOCATION,40.814916,-73.905518
P.S. 161 Ponce De Leon,40.814916,-73.905518
P17@IS184(XW),40.814916,-73.905518
P.S. 160 Walt Disney,40.864676,-73.824303
P.S. 159 Luis Munoz Marin Biling,40.855639,-73.892804
800 HOME STREET CONSOLIDATED LOCATION,40.827743,-73.900105
Dr. Richard Izquierdo Health and Science Charter S,40.827743,-73.900105
Bronx Career and College Preparatory High School,40.827743,-73.900105
P.S./I.S. 218 Rafael Hernandez Dual Language Magne,40.835847,-73.920026
Bronx Latin,40.827743,-73.900105
P.S. 157 Grove Hill,40.819258,-73.908553
750 CONCOURSE VILLAGE WEST CONSOLIDATED LOCATION,40.823174,-73.923326
BRONX GLOBAL LEARNING INSTITUTE FOR GIRLS CHARTER SCHOOL(XW),40.823174,-73.923326
Performance School,40.823174,-73.923326
Concourse Village Elementary School,40.823174,-73.923326
470 JACKSON AVENUE CONSOLIDATED LOCATION,40.811162,-73.909804
J. M. Rapport School Career Development,40.811162,-73.909804
Foreign Language Academy of Global Studies,40.811162,-73.909804
P.S. 154 Jonathan D. Hyatt,40.808034,-73.926204
P.S. 153 Helen Keller,40.872614,-73.833698
P.S. 152 Evergreen,40.824054,-73.880039
250 EAST 156 STREET CONSOLIDATED LOCATION,40.82316,-73.921631
KIPP Academy Charter School,40.82316,-73.921631
P.S. 051 Bronx New School,40.850666,-73.886996
J.H.S. 151 Lou Gehrig,40.82316,-73.921631
P.S./M.S. 031 The William Lloyd Garrison,40.82316,-73.921631
P.S. 150 Charles James Fox,40.82636,-73.894398
360 EAST 145 STREET CONSOLIDATED LOCATION,40.813983,-73.920782
M.S. 223 The Laboratory School of Finance and Tech,40.813983,-73.920782
South Bronx Preparatory: A College Board School,40.813983,-73.920782
3630 THIRD AVENUE CONSOLIDATED LOCATION,40.833511,-73.90449
Frederick Douglass Academy III Secondary School,40.833511,-73.90449
I.S. 219 New Venture School,40.833511,-73.90449
Kappa,40.833511,-73.90449
1600 WEBSTER AVENUE CONSOLIDATED LOCATION,40.840878,-73.904754
I.S. 339,40.840878,-73.904754
I.S. 313 School of Leadership Development,40.840878,-73.904754
P.S. 146 Edward Collins,40.825025,-73.906143
1000 TELLER AVENUE CONSOLIDATED LOCATION,40.827941,-73.914374
New Millennium Business Academy Middle School,40.827941,-73.914374
Urban Science Academy,40.827941,-73.914374
J.H.S. 145 Arturo Toscanini,40.827941,-73.914374
2545 GUNTHER AVENUE CONSOLIDATED LOCATION,40.863735,-73.83607
Pelham Gardens Middle School,40.863735,-73.83607
J.H.S. 144 Michelangelo,40.863735,-73.83607
120 WEST 231 STREET CONSOLIDATED LOCATION,40.875911,-73.901099
The New School for Leadership and Journalism,40.875911,-73.901099
"The Marie Curie School for Medicine, Nursing, and",40.875911,-73.901099
3750 BAYCHESTER AVENUE CONSOLIDATED LOCATION,40.884953,-73.840524
Baychester Middle School,40.884953,-73.840524
One World Middle School at Edenwald,40.884953,-73.840524
Bronx Alliance Middle School,40.884953,-73.840524
Riverdale / Kingsbridge Academy (Middle School / H,40.888338,-73.913486
P.S. X140 The Eagle School,40.823289,-73.907948
345 BROOK AVENUE CONSOLIDATED LOCATION,40.81004,-73.917792
Academy of Applied Mathematics and Technology,40.81004,-73.917792
International Community High School,40.81004,-73.917792
P.S. / I.S. 224,40.81004,-73.917792
P.S. 138 Samuel Randall,40.822665,-73.853366
2225 WEBSTER AVENUE CONSOLIDATED LOCATION,40.854493,-73.896717
The Angelo Patri Middle School,40.854493,-73.896717
Theatre Arts Production Company School,40.854493,-73.896717
P186X Walter J. Damrosch School,40.83182,-73.898075
2441 WALLACE AVENUE CONSOLIDATED LOCATION,40.862109,-73.864577
Bronx Park Middle School,40.862109,-73.864577
Pelham Academy of Academics and Community Engageme,40.862109,-73.864577
Bronx Green Middle School,40.862109,-73.864577
P.S. 134 George F. Bristow,40.83132,-73.894794
P.S. 132 Garret A. Morgan,40.831827,-73.906607
885 BOLTON AVENUE CONSOLIDATED LOCATION,40.823526,-73.859662
Soundview Academy for Culture and Scholarship,40.823526,-73.859662
J.H.S. 131 Albert Einstein,40.823526,-73.859662
P.S. 130 Abram Stevens Hewitt,40.817721,-73.902421
2055 MAPES AVENUE CONSOLIDATED LOCATION,40.845878,-73.886184
Kappa III,40.845878,-73.886184
M.S. 129 Academy for Independent Learning and Lead,40.845878,-73.886184
1560 PURDY STREET CONSOLIDATED LOCATION,40.837931,-73.853524
Linden Tree Elementary School,40.837931,-73.853524
J.H.S. 127 The Castle Hill,40.837931,-73.853524
P.S. 126 Dr Marjorie H Dunbar,40.835784,-73.928324
1111 PUGSLEY AVENUE CONSOLIDATED LOCATION,40.829232,-73.856734
Blueprint Middle School,40.829232,-73.856734
P.S. 175 City Island,40.843873,-73.785219
J.H.S. 125 Henry Hudson,40.829232,-73.856734
The School for Inquiry and Social Justice,40.825403,-73.873666
